idPan;panNome;panNomeCompleto;panNomeFantasia;panAbrangenciaTaxonomica;panAbrangenciaGeografica;panCiclo;panStatus;panCentro;panInicioData;panInicioAno;Data da portaria vigente do PAN;"Data do início da vigência do PAN na portaria 
(último artigo da portaria)";panFimData;panFimAno;panPortaria;panProcesso;panLogo;panSite
CEMAVE_30.02;Aves da Amazônia - 2º ciclo;Plano de Ação Nacional para Conservação das Aves da Amazônia;Aves da Amazônia;Intraclasse;Bioma;2º ciclo;Em execução;CEMAVE;Elaborado;Elaborado;;;;;Aguardando portaria;02061.000203/2021-40;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_16-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-da-amazonia
CEMAVE_31.02;(Previsto) Aves da Mata Atlântica 2º ciclo;Plano de Ação Nacional para Conservação das Aves da Mata Atlântica;Aves da Mata Atlântica;Intraclasse;Bioma;2º ciclo;Previsto;CEMAVE;Previsto;Previsto;;;;;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-da-mata-atlantica
CEMAVE_32.03;(Previsto) Aves dos Campos Sulinos - 3º ciclo;Plano de Ação Nacional para a Conservação das Aves dos Campos Sulinos;Aves dos Campos Sulinos;Intraclasse;Ecossistema;3º ciclo;Previsto;CEMAVE;Previsto;Previsto;;;;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_22-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-dos-campos-sulinos
CEMAVE_33.03;(Previsto) Aves da Caatinga - 3º ciclo;Plano de Ação Nacional para Conservação das Aves da Caatinga;Aves da Caatinga;Intraclasse;Bioma;3º ciclo;Previsto;CEMAVE;Previsto;Previsto;;;;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_25-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-da-caatinga
CEMAVE_34.02;(Previsto) Aves Marinhas - 2º ciclo;Plano de Ação Nacional para a Conservação das Aves Marinhas;Aves Marinhas;Intraclasse;Bioma;3º ciclo;Previsto;CEMAVE;Previsto;Previsto;;;;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_24-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-marinhas
CENAP_01.01;(Finalizado) Ariranha - 1º ciclo;Plano de Ação Nacional para a Conservação da Ariranha (Pteronura brasiliensis);Ariranha;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CENAP;27/08/2010;2010;27/08/2010;27/08/2010;01/08/2015;2015;Portaria 88 (27/08/2010);02070.004196/2010-93;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-ariranha
CENAP_02.01;(Finalizado) Cervídeos;Plano de Ação Nacional para a Conservação dos Cervídeos Brasileiros;Cervídeos;Intraclasse;Nacional;1º ciclo;Finalizado;CENAP;27/08/2010;2010;27/08/2010;27/08/2010;01/08/2015;2015;Portaria 97 (27/08/2010);02070.001984/2010- 28;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-cervideos
CENAP_03.01;(Finalizado) Onça-pintada;Plano de Ação Nacional para Conservação da Onça-pintada;Onça-pintada;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CENAP;14/12/2010;2010;09/06/2014;09/06/2014;01/06/2017;2017;Portaria 63 (09/07/2014);02070.003690/2009-05;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-onca-pintada
CENAP_04.01;(Finalizado) Onça-parda;Plano de Ação Nacional para Conservação da Onça-parda;Onça-parda;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CENAP;23/03/2012;2012;27/06/2014;27/06/2014;01/02/2017;2017;Portaria 76 (17/06/2014);02070.002648/2010-01;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-onca-parda
CENAP_05.01;(Finalizado) Lobo-guará;Plano de Ação Nacional para a Conservação do Lobo-guará;Lobo-guará;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CENAP;02/04/2012;2012;27/03/2014;27/03/2014;01/06/2017;2017;Portaria 31 (27/03/2014);02070.004223/2010-28;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-lobo-guara
CENAP_06.01;(Finalizado) Cachorro-vinagre;Plano de Ação Nacional para Conservação do Cachorro Vinagre, Speothos venaticus;Cachorro-vinagre;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CENAP;05/07/2013;2013;05/07/2013;05/07/2013;01/06/2018;2018;Portaria 202 (05/07/2013);02070.001039/2012-98;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-cachorro-vinagre
CENAP_07.01;(Finalizado) Pequenos Felinos - 1º ciclo;Plano de Ação Nacional para a Conservação dos Pequenos Felinos;Pequenos Felinos;Intraclasse;Nacional;1º ciclo;Finalizado;CENAP;27/03/2014;2014;27/03/2014;27/03/2014;01/06/2018;2018;Portaria 32 (27/03/2014);02070.001040/2012-12;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pequenos-felinos
CENAP_08.02;Ariranha - 2º ciclo;Plano de Ação Nacional para a Conservação da Ariranha (Pteronura brasiliensis);Ariranha;Monoespecífico;Específico (distribuição da espécie);2º ciclo;Em execução;CENAP;24/08/2016;2016;24/08/2016;24/08/2016;01/12/2020;2020;Portaria 85 (24/08/2016);02070.004196/2010-93;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-ariranha
CENAP_09.01;Grandes Felinos;Plano de Ação Nacional para a Conservação dos Grandes Felinos;Grandes Felinos;Intraclasse;Nacional;1º ciclo;Em execução;CENAP;22/06/2018;2018;22/06/2018;22/06/2018;01/12/2023;2023;Portaria 612 (22/06/2018);02068.000015/2018-56;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-grandes-felinos
CENAP_10.01;Canídeos;Plano de Ação Nacional para a Conservação dos Canídeos Silvestres;Canídeos;Intraclasse;Nacional;1º ciclo;Em execução;CENAP;06/07/2018;2018;06/07/2018;06/07/2018;01/12/2023;2023;Portaria 664 (06/07/2018);02068.000014/2018-10;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-canideos
CENAP_11.01;Ungulados;Plano de Ação Nacional para a Conservação dos Ungulados;Ungulados;Intraclasse;Nacional;1º ciclo;Em execução;CENAP;25/07/2019;2019;25/07/2019;25/07/2019;01/07/2024;2024;Portaria 356 (25/07/2019);02068.000078/2018-11;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-ungulados
CENAP_12.02;Pequenos Felinos - 2º ciclo;Plano de Ação Nacional para a Conservação dos Pequenos Felinos;Pequenos Felinos;Intraclasse;Nacional;2º ciclo;Em execução;CENAP;21/06/2022;2022;21/06/2022;01/07/2022;01/07/2027;2027;Portaria 493 (21/06/2022);02068.000061/2019-36;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pequenos-felinos
CENAP_13.01;Pequenos Mamíferos de Áreas Abertas;Plano de Ação Nacional para a Conservação dos Pequenos Mamíferos de Áreas Abertas;Pequenos Mamíferos de Áreas Abertas;Intraclasse;Nacional;1º ciclo;Em execução;CENAP;05/07/2022;2022;05/07/2022;01/08/2022;01/08/2027;2027;Portaria 560 (5/07/2022);02068.000056/2019-23;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pequenos-mamiferos-areas-abertas
